Company,link,Team Size,Location,Number Of Founders
Alacrity,https://www.ycombinator.com/companies/alacrity,2,San Francisco,2
ParcelBio,https://www.ycombinator.com/companies/parcelbio,2,San Francisco,2
K-Scale Labs,https://www.ycombinator.com/companies/k-scale-labs,3,New York,3
Marr Labs,https://www.ycombinator.com/companies/marr-labs,6,San Francisco,2
Forge Rewards,https://www.ycombinator.com/companies/forge-rewards,2,San Francisco,2
FanCave,https://www.ycombinator.com/companies/fancave,2,"Roeland Park, KS",2
RetailReady,https://www.ycombinator.com/companies/retailready,3,,2
Million,https://www.ycombinator.com/companies/million,3,San Francisco,3
NowHouse,https://www.ycombinator.com/companies/nowhouse,0,,1
Crux,https://www.ycombinator.com/companies/crux,7,,3
Reprompt,https://www.ycombinator.com/companies/reprompt,2,San Francisco,2
InspectMind AI,https://www.ycombinator.com/companies/inspectmind-ai,2,San Francisco,2
Yarn,https://www.ycombinator.com/companies/yarn-2,2,San Francisco,2
Blacksmith,https://www.ycombinator.com/companies/blacksmith,3,San Francisco,3
CrowdVolt,https://www.ycombinator.com/companies/crowdvolt,3,NY,3
kater.ai,https://www.ycombinator.com/companies/kater-ai,2,San Francisco,2
MathGPTPro,https://www.ycombinator.com/companies/mathgptpro,5,"Santa Clara, CA",2
Quivr,https://www.ycombinator.com/companies/quivr,3,,3
Dragoneye,https://www.ycombinator.com/companies/dragoneye,2,New York,1
renderlet,https://www.ycombinator.com/companies/renderlet,1,New York,1
Fume,https://www.ycombinator.com/companies/fume,2,San Francisco,2
Numo,https://www.ycombinator.com/companies/numo,3,San Francisco,3
Forge,https://www.ycombinator.com/companies/forge,2,San Francisco,2
Taiki,https://www.ycombinator.com/companies/taiki,2,San Francisco,2
Konstructly,https://www.ycombinator.com/companies/konstructly,6,"London, United Kingdom",3
Pico,https://www.ycombinator.com/companies/pico,2,,2
Granza Bio,https://www.ycombinator.com/companies/granza-bio,2,San Francisco,2
Haplotype Labs,https://www.ycombinator.com/companies/haplotype-labs,1,"Orinda, CA",1
Healia,https://www.ycombinator.com/companies/healia,2,,1
TrueClaim,https://www.ycombinator.com/companies/trueclaim,2,San Francisco,2
CoCrafter,https://www.ycombinator.com/companies/cocrafter,3,"Munich, Germany",3
Reform,https://www.ycombinator.com/companies/reform,3,San Francisco,3
Piramidal,https://www.ycombinator.com/companies/piramidal,2,San Francisco,2
Junction Bioscience,https://www.ycombinator.com/companies/junction-bioscience,1,San Francisco,1
OddsView,https://www.ycombinator.com/companies/oddsview,5,New York,5
SiLogy,https://www.ycombinator.com/companies/silogy,3,New York,2
Senso,https://www.ycombinator.com/companies/senso,2,"Toronto, Canada",2
Eris Biotech,https://www.ycombinator.com/companies/eris-biotech,2,"American Fork, UT",2
Powder,https://www.ycombinator.com/companies/powder,6,"Los Altos, CA",5
OpenFoundry,https://www.ycombinator.com/companies/openfoundry,2,San Francisco,2
GoldenBasis,https://www.ycombinator.com/companies/goldenbasis,2,San Francisco,2
Arcane,https://www.ycombinator.com/companies/arcane,2,New York,2
Somn,https://www.ycombinator.com/companies/somn,2,San Francisco,2
Magic Hour,https://www.ycombinator.com/companies/magic-hour,2,San Francisco,2
Ryse,https://www.ycombinator.com/companies/ryse,13,New York,2
Lumona,https://www.ycombinator.com/companies/lumona,3,San Francisco,3
Datacurve,https://www.ycombinator.com/companies/datacurve,3,San Francisco,2
Marblism,https://www.ycombinator.com/companies/marblism,2,,2
CommodityAI,https://www.ycombinator.com/companies/commodityai,3,San Francisco,3
Veles,https://www.ycombinator.com/companies/veles,2,"Santa Barbara, CA",2
Miden,https://www.ycombinator.com/companies/miden,10,"Ikeja, Nigeria",2
Fluently,https://www.ycombinator.com/companies/fluently,2,,2
Basepilot,https://www.ycombinator.com/companies/basepilot,2,San Francisco,2
Aqua Voice,https://www.ycombinator.com/companies/aqua-voice,3,San Francisco,2
Onedoc,https://www.ycombinator.com/companies/onedoc,3,"Paris, France",3
xPay,https://www.ycombinator.com/companies/xpay,2,San Francisco,2
DeepNight,https://www.ycombinator.com/companies/deepnight,3,San Francisco,2
Vista Space,https://www.ycombinator.com/companies/vista-space,3,San Francisco,3
Corefin,https://www.ycombinator.com/companies/corefin,2,San Francisco,2
Ocular AI,https://www.ycombinator.com/companies/ocular-ai,2,San Francisco,2
Retell AI,https://www.ycombinator.com/companies/retell-ai,5,San Francisco,5
Rove,https://www.ycombinator.com/companies/rove,2,New York,2
camelQA,https://www.ycombinator.com/companies/camelqa,3,"Austin, TX",3
Spark,https://www.ycombinator.com/companies/spark,2,,2
Titan,https://www.ycombinator.com/companies/titan-2,1,San Francisco,1
Terrakotta,https://www.ycombinator.com/companies/terrakotta,3,San Francisco,3
Stacksync,https://www.ycombinator.com/companies/stacksync,4,San Francisco,2
Hatchet,https://www.ycombinator.com/companies/hatchet-2,2,New York,2
Shepherd,https://www.ycombinator.com/companies/shepherd-2,5,,3
Sonauto,https://www.ycombinator.com/companies/sonauto,2,San Francisco,2
BiteSight,https://www.ycombinator.com/companies/bitesight,2,New York,2
Velorum Therapeutics,https://www.ycombinator.com/companies/velorum-therapeutics,3,San Francisco,2
Zep AI,https://www.ycombinator.com/companies/zep-ai,3,,1
Openmart,https://www.ycombinator.com/companies/openmart,2,,2
Triply,https://www.ycombinator.com/companies/triply,18,"Nairobi, Kenya",2
Amber AI,https://www.ycombinator.com/companies/amber-ai,2,San Francisco,2
thorntale,https://www.ycombinator.com/companies/thorntale,3,San Francisco,3
Alai,https://www.ycombinator.com/companies/alai,2,San Francisco,2
PocketPod,https://www.ycombinator.com/companies/pocketpod,2,San Francisco,2
Brainbase,https://www.ycombinator.com/companies/brainbase,1,San Francisco,1
Focal,https://www.ycombinator.com/companies/focal,2,San Francisco,2
Givefront,https://www.ycombinator.com/companies/givefront,2,,2
Cleva,https://www.ycombinator.com/companies/cleva,13,"Lagos, Nigeria",2
Oma Care,https://www.ycombinator.com/companies/oma-care,2,San Francisco,2
Artos,https://www.ycombinator.com/companies/artos,2,San Francisco,2
Model ML,https://www.ycombinator.com/companies/model-ml,2,"London, United Kingdom",2
BetterBasket,https://www.ycombinator.com/companies/betterbasket,4,San Francisco,2
Circleback,https://www.ycombinator.com/companies/circleback,2,San Francisco,2
just words,https://www.ycombinator.com/companies/just-words,2,San Francisco,1
Risotto,https://www.ycombinator.com/companies/risotto,3,San Francisco,3
DianaHR,https://www.ycombinator.com/companies/dianahr,3,San Francisco,2
HeartByte,https://www.ycombinator.com/companies/heartbyte,2,San Francisco,2
Yondu,https://www.ycombinator.com/companies/yondu,3,San Francisco,2
dawn,https://www.ycombinator.com/companies/dawn,3,,3
Lumina,https://www.ycombinator.com/companies/lumina-2,3,San Francisco,3
Centauri AI,https://www.ycombinator.com/companies/centauri-ai,3,"Alameda, CA",3
ProSights,https://www.ycombinator.com/companies/prosights,4,San Francisco,3
Manifold Freight,https://www.ycombinator.com/companies/manifold-freight,2,"Seattle, WA",2
edgetrace,https://www.ycombinator.com/companies/edgetrace,2,,2
Clarum,https://www.ycombinator.com/companies/clarum,2,San Francisco,2
Opencall.ai,https://www.ycombinator.com/companies/opencall-ai,4,San Francisco,4
Voicepanel,https://www.ycombinator.com/companies/voicepanel,2,San Francisco,2
Skygaze,https://www.ycombinator.com/companies/skygaze,3,,3
Abel,https://www.ycombinator.com/companies/abel,2,San Francisco,2
OffDeal,https://www.ycombinator.com/companies/offdeal,2,New York,2
Delve,https://www.ycombinator.com/companies/delve,3,San Francisco,2
Andy AI,https://www.ycombinator.com/companies/andy-ai,2,San Francisco,2
Hazel,https://www.ycombinator.com/companies/hazel-2,2,New York,2
Shiboleth,https://www.ycombinator.com/companies/shiboleth,2,New York,2
